old|new
support.privateinternetaccess.com/Knowledgebase/Article/View/57|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/218984968-What-is-the-difference-between-the-OpenVPN-config-files-on-your-website-
support.privateinternetaccess.com/|https://helpdesk.privateinternetaccess.com/hc/en-us/
support.privateinternetaccess.com/index.php?/Tickets/Submit|https://helpdesk.privateinternetaccess.com/hc/en-us/requests/new?ticket_form_id=296428
support.privateinternetaccess.com/Tickets/Submit|https://helpdesk.privateinternetaccess.com/hc/en-us/requests/new?ticket_form_id=296428
support.privateinternetaccess.com/index.php?/Tier1/Tickets/Submit|https://helpdesk.privateinternetaccess.com/hc/en-us/requests/new?ticket_form_id=300308
support.privateinternetaccess.com/Knowledgebase/Article/View/143|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219457617-Geo-Locked-Content-Restrictions
support.privateinternetaccess.com/Knowledgebase/Article/View/62/23/can|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219057428-Can-I-use-OpenVPN-2-3-x-with-Private-Internet-Access-
support.privateinternetaccess.com/index.php?/Knowledgebase/Article/View/32/18/reinstall|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219498647-How-do-I-uninstall-reinstall-the-PIA-app-on-Windows-
support.privateinternetaccess.com/index.php?/Knowledgebase/Article/View/44/16/is|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/218985608-Installing-OpenVPN-PIA-on-iOS
support.privateinternetaccess.com/index.php?/Knowledgebase/PopularArticles|https://helpdesk.privateinternetaccess.com/hc/en-us/
support.privateinternetaccess.com/index.php?/Knowledgebase/List/Index/16/|https://helpdesk.privateinternetaccess.com/hc/en-us/categories/202721698-Technical
support.privateinternetaccess.com/Base/Search/Index|https://helpdesk.privateinternetaccess.com/hc/en-us/
