old|new
support.privateinternetaccess.com/|https://helpdesk.privateinternetaccess.com/hc/en-us/
support.privateinternetaccess.com/Base/Search/Index|https://helpdesk.privateinternetaccess.com/hc/en-us/
support.privateinternetaccess.com/Knowledgebase/Article/View/10|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219499157-I-am-receiving-an-authentication-failure-error-when-logging-into-the-VPN-service
support.privateinternetaccess.com/Knowledgebase/Article/View/100|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219332208-Why-haven-t-I-received-my-login-information-from-you-
support.privateinternetaccess.com/Knowledgebase/Article/View/101|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219332228-Why-does-your-iOS-application-use-IPSec-instead-of-OpenVPN-
support.privateinternetaccess.com/Knowledgebase/Article/View/102|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219016688-Installing-OpenVPN-PIA-on-Linux-using-the-MATE-desktop-environment-
support.privateinternetaccess.com/Knowledgebase/Article/View/103|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219332128-Why-is-there-an-additional-pre-authorization-charge-of-1-on-my-credit-card-statement-
support.privateinternetaccess.com/Knowledgebase/Article/View/104|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219015398-How-do-I-access-my-home-server-intranet-while-connected-to-the-VPN-
support.privateinternetaccess.com/Knowledgebase/Article/View/105|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219332528-Why-am-I-getting-locked-out-of-my-Google-account-while-the-VPN-is-active-
support.privateinternetaccess.com/Knowledgebase/Article/View/106|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219656687-How-can-I-change-the-credit-card-details-on-my-account-
support.privateinternetaccess.com/Knowledgebase/Article/View/107|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219458567-How-can-I-improve-connection-speed-for-a-router-based-VPN-
support.privateinternetaccess.com/Knowledgebase/Article/View/107/17/how-can-i-improve-connection-speed-for-a-router-based-vpn|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219458567-How-can-I-improve-connection-speed-for-a-router-based-VPN-
support.privateinternetaccess.com/Knowledgebase/Article/View/108|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/220934827-What-ports-are-used-by-your-VPN-service-
