name|newurl|oldurl
I have verified the VPN is connected. How can a website still know where I am?|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219831087-I-have-verified-the-VPN-is-connected-How-can-a-website-still-know-where-I-am-|
Can I change my payment method to a different one?|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219656627-Can-I-change-my-payment-method-to-a-different-one-|https://support.privateinternetaccess.com/Knowledgebase/Article/View/35/2/can-i-change-my-payment-method-to-a-different-one
Can I reactivate my cancelled service?|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219656667-Can-I-reactivate-my-cancelled-service-|https://support.privateinternetaccess.com/Knowledgebase/Article/View/79/2/can-i-resume-my-recurrent-payments-if-i-have-cancelled-the-auto-renewal
Why haven't I received my login information from you?|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219332208-Why-haven-t-I-received-my-login-information-from-you-|https://support.privateinternetaccess.com/Knowledgebase/Article/View/100
Why does your iOS application use IPSec instead of OpenVPN?|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219332228-Why-does-your-iOS-application-use-IPSec-instead-of-OpenVPN-|https://support.privateinternetaccess.com/Knowledgebase/Article/View/101
Why am I unable to receive emails from your account system?|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219332348-Why-am-I-unable-to-receive-emails-from-your-account-system-|https://support.privateinternetaccess.com/Knowledgebase/Article/View/137
Why can't I sign up for your service?|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/221329088-Why-can-t-I-sign-up-for-your-service-|https://support.privateinternetaccess.com/Knowledgebase/Article/View/154/2/why-cant-i-sign-up-for-your-service
Where are you located?|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/221245047-Where-are-you-located-|
Can I purchase Private Internet Access in one country and use it in another?|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/220934227-Can-I-purchase-Private-Internet-Access-in-one-country-and-use-it-in-another-|
Can I use PrivateInternetAccess.com in another country?|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/220723848-Can-I-use-PrivateInternetAccess-com-in-another-country-|
How do I find my payment processor ID?|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/221045587-How-do-I-find-my-payment-processor-ID-|https://support.privateinternetaccess.com/Knowledgebase/Article/View/153
What ports are used by your VPN service?|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/220934827-What-ports-are-used-by-your-VPN-service-|https://support.privateinternetaccess.com/Knowledgebase/Article/View/108
Why do I receive an Ocra Error When Trying To Install/Run Your Application?|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/220934707-Why-do-I-receive-an-Ocra-Error-When-Trying-To-Install-Run-Your-Application-|
Why is the icon for my VPN software not red or green?|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/220934367-Why-is-the-icon-for-my-VPN-software-not-red-or-green-|https://support.privateinternetaccess.com/Knowledgebase/Article/View/42/6/why-is-the-icon-for-my-vpn-software-not-red-or-green
